OBJECTID,CSA2010,age64_10,age64_15,age64_16,age64_17,age64_18,age64_19,CSA2020,age64_21,Shape__Area,Shape__Length
36,Midway/Coldstream,50.5195344970906,54.3608379649423,56.8803124282104,53.46015087,53.1322505800464,51.02087899,Midway/Coldstream,46.27994956,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,54.1834002677376,56.6615620214395,58.6868555018927,58.88801879,57.9217206452419,57.18467609,Morrell Park/Violetville,53.0791421,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,59.5394736842105,57.4016361511492,56.0224089635854,55.18763797,53.9275220372184,54.82811896,Mount Washington/Coldspring,54.20906568,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,44.0448923499771,46.0693541894301,45.6947897993408,45.22400676,43.9629187283171,43.28180061,North Baltimore/Guilford/Homeland,41.95796639,74923987.6937256,42904.2221443544
40,Northwood,44.2528390314246,42.728184553661,42.0967274833478,42.36119029,43.7040863177226,44.29114858,Northwood,43.57573688,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,50.8432292186409,48.7345180398492,50.0443655723159,51.68883259,52.4395417904115,52.06628478,Oldtown/Middle East,54.75332942,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,56.3793669915672,55.7392996108949,55.3865777080063,57.38863573,56.7590418036636,56.51277014,Greektown/Bayview,57.05569992,89894372.2113037,47825.8629266244
43,Patterson Park North & East,59.9216440992508,62.902334576599,64.8053453330606,62.63402935,61.7946480511925,62.96687542,Patterson Park North & East,64.36638432,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,56.3508481588746,55.5786686838124,57.2308594895864,56.94010786,56.9821177416114,58.22510823,Penn North/Reservoir Hill,60.99222826,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,49.949221394719,54.2700667465343,54.143596260325,52.64452645,49.83466251702,50.54087789,Pimlico/Arlington/Hilltop,51.20807789,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,54.620526936689,53.8852725793328,54.8291526762789,53.24782789,60.9604268563806,60.46463816,Poppleton/The Terraces/Hollins Market,61.0460251,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,50.8794307196563,51.84946513726,52.7587134975104,51.40109058,49.3424180003169,49.56014211,Sandtown-Winchester/Harlem Park,53.77447209,23672092.8682861,20987.1433066354
48,South Baltimore,70.9178894786138,74.7358038607862,76.0772053826288,76.38163321,77.4259033698741,76.80225534,South Baltimore,74.51873049,46353935.4255981,68440.02582664
49,Southeastern,53.7060702875399,53.179294286226,48.7012987012987,48.99851018,50.0242914979757,50.06988663,Southeastern,52.03496704,111251478.472229,102291.480547698
50,Southern Park Heights,50.5871725383921,53.4793382894649,54.9324804548685,55.5974478,56.8508114856429,54.50708712,Southern Park Heights,48.2381531,27876227.5908203,24052.221372193
51,Southwest Baltimore,51.9765166340509,53.5916438116356,52.4621748739162,52.80531972,53.0711206896551,53.69808152,Southwest Baltimore,60.84003838,37766068.8365479,28355.563581391
52,The Waverlies,55.9912292015994,58.2093381221139,57.0102834211186,56.18425825,55.7656655543196,57.49709415,The Waverlies,60.69267413,20383750.5437012,18733.826879757
53,Upton/Druid Heights,48.6462966544189,46.1026710356469,46.9664455715958,47.27717924,45.5848261327713,49.19441461,Upton/Druid Heights,51.40405616,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,59.5311648191895,60.8419083255379,63.1268996960486,64.79733481,63.8340248962655,65.2942157,Pigtown/Carroll Park,64.69782571,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,51.299339794915,56.4312374389894,56.3716166788588,54.23276501,54.4096840119478,49.4691808,Westport/Mount Winans/Lakeland,42.70346118,45494092.9501953,42573.1244161851
