OBJECTID,CSA2010,age65_10,age65_15,age65_16,age65_17,age65_18,age65_19,CSA2020,age65_21,age65_22,Shape__Area,Shape__Length
43,Patterson Park North & East,6.25,6.07128056361376,5.97259153201064,7.145880361,7.60616637579988,7.854825323,Patterson Park North & East,10.06477329,10.29198,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,9.24,10.731845688351,11.2447443042926,11.00387927,11.5933293148483,11.62646877,Penn North/Reservoir Hill,13.54199936,13.75853,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,17.29,17.0973814821154,18.9797585549605,22.1118365,24.1295467807819,26.49261494,Pimlico/Arlington/Hilltop,25.01502584,21.31398,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,9.34,9.01139137510171,7.56468496938574,8.398841539,8.73721654068474,8.758223684,Poppleton/The Terraces/Hollins Market,10.37656904,9.669453,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,11.82,11.4061090346694,12.5487821289194,13.98061194,14.466803993028,15.25122653,Sandtown-Winchester/Harlem Park,18.94502864,18.92072,23672092.8682861,20987.1433066354
48,South Baltimore,8.15,7.82020572072707,7.14965339132799,6.612592796,6.64501285694952,6.336420996,South Baltimore,6.21748179,5.18755,46353935.4255981,68440.02582664
49,Southeastern,12.78,13.5411069317571,13.6904761904762,12.61380566,11.3036437246963,11.08867837,Southeastern,10.37546575,10.92473,111251478.472229,102291.480547698
50,Southern Park Heights,12.46,10.8766994842944,13.1272210376688,15.21896752,16.5886392009987,19.17502787,Southern Park Heights,20.52652896,20.92165,27876227.5908203,24052.221372193
51,Southwest Baltimore,9.96,11.2388399369785,10.6193687312291,10.88879653,11.1649904214559,12.29248757,Southwest Baltimore,11.81811471,14.99887,37766068.8365479,28355.563581391
52,The Waverlies,12.64,14.7639815289892,15.2370203160271,14.9195986,14.31219873934,14.37427354,The Waverlies,12.56598429,14.04091,20383750.5437012,18733.826879757
53,Upton/Druid Heights,10.13,10.3961870717903,10.0858369098712,10.80313418,12.4657534246575,12.04081633,Upton/Druid Heights,12.66993537,13.4705,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,8.12,8.02619270346118,7.86474164133739,8.754395706,7.78423236514522,8.334722454,Pigtown/Carroll Park,10.32357473,10.09566,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,8.4,6.86190066035027,6.3643013899049,6.389918458,7.12152177330608,9.047694502,Westport/Mount Winans/Lakeland,9.41690053,10.4978,45494092.9501953,42573.1244161851
